Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
252,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,22,1997,35.5,3,0,0,22,57,1,2,27,22,0,1,0,289,90,62,59.2,Matches
253,Cheikhou Kouyaté\8d3c902d,sn SEN,DF,Crystal Palace,30,1989,34.7,4,0,0,43,20,0,4,38,36,0,0,0,310,94,51,64.8,Matches
254,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,26,1994,20.2,4,0,0,21,55,0,6,22,36,0,0,0,158,11,10,52.4,Matches
255,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,25,1994,14.3,4,0,0,17,9,1,12,21,16,0,0,0,104,22,22,50.0,Matches
256,Filip Krovinović\c2dfedeb,hr CRO,MF,West Brom,24,1995,6.1,0,0,0,10,11,0,5,2,10,0,0,0,70,8,13,38.1,Matches
257,Alexandre Lacazette\9dbb75ca,fr FRA,FW,Arsenal,29,1991,21.4,3,0,0,41,68,10,4,14,19,1,0,0,99,30,61,33.0,Matches
258,Adam Lallana\99813635,eng ENG,MFFW,Brighton,32,1988,17.7,0,0,0,23,26,3,17,16,26,0,1,0,158,13,32,28.9,Matches
259,Érik Lamela\abe66106,ar ARG,FWMF,Tottenham,28,1992,8.0,6,1,1,27,16,0,9,4,11,0,0,0,48,5,17,22.7,Matches
260,Tariq Lamptey\f4e433d4,eng ENG,DF,Brighton,19,2000,9.8,4,1,1,21,32,1,30,13,10,2,1,0,83,5,12,29.4,Matches
261,Manuel Lanzini\26f6dca8,ar ARG,MFFW,West Ham,27,1993,6.3,1,0,0,7,11,2,2,6,6,0,0,0,67,1,9,10.0,Matches
262,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,26,1994,14.9,1,0,0,9,11,2,0,8,6,0,1,0,139,46,18,71.9,Matches
263,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,26,1993,18.1,4,0,0,20,9,0,1,15,12,0,0,0,142,53,20,72.6,Matches
264,Maxime Le Marchand\321a71a7,fr FRA,DF,Fulham,30,1989,1.4,2,0,0,3,1,0,0,0,1,0,0,0,11,4,3,57.1,Matches
265,Mario Lemina\2b471f99,ga GAB,MF,Fulham,26,1993,18.9,5,0,0,38,19,0,5,43,36,1,0,0,191,19,27,41.3,Matches
266,Bernd Leno\2628fd2b,de GER,GK,Arsenal,28,1992,34.8,0,1,0,1,5,0,0,0,0,0,0,1,149,0,0,,Matches
267,Khanya Leshabela\383e68b1,za RSA,MF,Leicester City,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
268,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,22,1998,20.4,4,0,0,26,18,1,32,20,26,0,1,0,153,14,18,43.8,Matches
269,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,26,1994,28.7,0,0,0,28,10,1,1,32,16,0,1,0,265,69,36,65.7,Matches
270,Jesse Lingard\810e3c74,eng ENG,MFFW,West Ham,27,1992,15.8,3,0,0,24,35,6,23,7,10,2,0,0,88,0,6,0.0,Matches
271,Jake Livermore\b98570d1,eng ENG,MF,West Brom,30,1989,13.8,2,1,0,36,7,0,4,19,19,0,0,1,143,18,19,48.6,Matches
272,Diego Llorente\bba30585,es ESP,DF,Leeds United,26,1993,13.4,1,0,0,24,12,0,2,41,27,0,0,0,117,40,26,60.6,Matches
273,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,33,1986,38.0,0,0,0,0,6,0,0,0,0,0,0,0,152,0,0,,Matches
274,Giovani Lo Celso\d7553721,ar ARG,MF,Tottenham,24,1996,10.5,5,0,0,24,21,0,3,8,23,0,0,0,105,11,18,37.9,Matches
275,Ruben Loftus-Cheek\e97fd090,eng ENG,FW,Chelsea,24,1996,0.7,0,0,0,1,2,0,0,1,0,0,0,0,5,1,3,25.0,Matches
